amfi_code,scheme_name,fund_house,category,aum_crore,expense_ratio_pct,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,std_dev_ann_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,risk_grade,rank_cagr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,scorecard_score,fund_rank
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,1000.0,1.46,20.36,34.0,,12.03,1.085,0.939,1.62,0.96,-11.27,Moderate,2.0,1.0,12.0,23.0,8.0,83.3,1
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,1000.0,1.45,26.66,29.58,,13.45,0.981,0.893,1.85,0.95,-12.97,Moderate,7.0,2.0,3.5,22.0,13.0,82.3,2
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,1000.0,1.38,22.26,35.11,,16.42,0.743,0.669,1.42,1.0,-20.96,High,1.0,9.0,16.0,17.0,28.0,74.1,3
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,1000.0,1.38,53.23,32.44,,16.03,0.821,0.722,0.95,0.91,-16.22,High,4.0,7.0,26.0,17.0,20.0,70.0,4
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,1000.0,0.8,13.06,32.49,,12.16,0.731,0.637,0.88,1.03,-12.59,Moderate,3.0,11.0,31.0,12.0,12.0,69.6,5
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,1000.0,1.36,29.6,31.78,,16.33,0.896,0.799,0.89,1.0,-18.19,High,5.0,4.0,29.5,15.0,25.0,68.8,6
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,1000.0,0.66,5.71,16.27,,11.8,0.665,0.588,1.78,0.87,-11.8,Moderate,23.0,14.0,9.0,4.0,11.0,66.9,7
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,1000.0,0.89,22.49,20.01,,10.99,0.412,0.364,1.8,1.04,-11.65,Moderate,17.0,20.0,7.0,13.0,10.0,65.5,8
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,1000.0,1.6,47.92,28.97,,12.33,0.734,0.655,1.34,1.03,-11.29,Moderate,9.0,10.0,18.0,36.5,9.0,63.7,9
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,1000.0,0.72,25.54,21.09,,11.84,0.406,0.366,1.7,1.02,-18.63,Moderate,15.0,21.0,10.5,5.5,26.0,63.4,10
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1000.0,1.54,60.44,30.46,,11.64,0.878,0.78,0.87,0.89,-15.01,Moderate,6.0,5.0,32.0,30.5,17.0,62.2,11
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,1000.0,1.43,82.78,26.67,,21.27,0.721,0.64,1.23,0.89,-28.71,High,12.0,13.0,20.0,21.0,36.0,57.4,12
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,1000.0,1.61,21.48,26.87,,15.02,0.846,0.728,1.02,0.98,-17.25,Moderate,11.0,6.0,25.0,38.0,22.0,57.2,13
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,1000.0,1.6,39.75,29.18,,14.96,0.933,0.842,0.54,0.98,-16.4,Moderate,8.0,3.0,39.0,36.5,21.0,55.1,14
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,1000.0,0.92,28.68,18.43,,12.41,0.523,0.46,1.13,0.97,-15.2,Moderate,19.0,18.0,22.5,14.0,18.0,54.9,15
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,1000.0,1.51,33.98,22.65,,11.98,0.776,0.682,0.86,0.88,-17.41,Moderate,14.0,8.0,33.0,24.5,23.0,54.4,16
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,1000.0,1.52,14.27,14.75,,13.06,0.656,0.579,1.7,0.99,-15.27,Moderate,24.0,15.0,10.5,26.5,19.0,54.0,17
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,1000.0,0.75,19.77,20.82,,11.82,-0.03,-0.026,1.43,0.87,-21.75,Moderate,16.0,28.0,15.0,8.0,31.0,53.6,18
