fund_rank,amfi_code,scheme_name,fund_house,category,scorecard_score,cagr_3yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,expense_ratio_pct,max_drawdown_pct,drawdown_window
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,100.0,33.99,1.07,1.49,26.98,0.02,1.46,-11.27,2023-07-11 to 2023-10-20
2,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,95.26,31.77,0.88,1.29,29.26,0.0,1.36,-18.19,2024-10-24 to 2025-01-23
3,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,94.04,29.58,0.97,1.48,27.33,-0.02,1.45,-12.97,2022-03-07 to 2022-04-13
4,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,92.28,32.43,0.81,1.14,27.2,0.01,1.38,-16.22,2022-03-11 to 2022-05-12
5,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,89.47,32.48,0.71,1.06,21.19,0.02,0.8,-12.59,2022-10-04 to 2023-05-30
6,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,88.77,35.1,0.73,1.06,26.08,-0.07,1.38,-20.96,2022-04-14 to 2022-08-11
7,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,83.07,30.45,0.86,1.29,23.2,-0.03,1.54,-15.01,2023-08-24 to 2024-02-05
8,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,82.37,29.17,0.92,1.35,28.27,0.02,1.6,-16.4,2023-08-10 to 2023-10-20
9,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,75.26,26.66,0.71,1.07,30.34,-0.02,1.43,-28.71,2024-08-28 to 2025-05-14
10,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,73.77,28.96,0.72,1.06,21.4,0.02,1.6,-11.29,2023-04-24 to 2023-07-05
11,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,73.42,26.99,0.71,1.03,30.06,0.01,1.52,-31.17,2024-05-03 to 2025-01-03
12,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,72.63,26.86,0.83,1.17,26.6,-0.0,1.61,-17.25,2022-06-06 to 2022-10-24
13,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,72.37,22.65,0.76,1.1,21.83,-0.01,1.51,-17.41,2024-01-02 to 2024-07-19
14,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,69.82,16.26,0.65,0.93,19.87,-0.03,0.66,-11.8,2024-05-21 to 2024-09-02
15,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,62.11,18.43,0.51,0.73,17.73,0.05,0.92,-15.2,2023-12-22 to 2025-01-01
16,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,61.58,21.08,0.39,0.59,15.64,-0.04,0.72,-18.63,2023-10-30 to 2024-02-29
17,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,60.44,20.0,0.39,0.57,15.14,-0.0,0.89,-11.65,2022-01-03 to 2022-06-09
18,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,55.7,19.66,0.52,0.77,17.05,-0.02,1.57,-10.86,2022-02-03 to 2022-03-29
19,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,54.65,13.97,0.52,0.73,17.7,-0.04,1.42,-13.9,2023-09-19 to 2023-11-09
20,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,53.95,14.74,0.64,0.96,20.87,-0.03,1.52,-15.27,2023-09-05 to 2024-01-24
21,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,51.58,18.42,0.4,0.58,16.25,0.04,1.41,-19.83,2023-03-31 to 2023-08-14
22,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,46.67,20.81,-0.05,-0.07,8.23,0.03,0.75,-21.75,2022-02-24 to 2023-05-22
23,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,43.77,25.55,0.38,0.57,16.21,0.02,1.64,-21.54,2022-01-03 to 2022-07-04
24,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,40.26,18.04,0.24,0.33,13.17,-0.0,1.54,-14.84,2022-01-03 to 2022-02-04
25,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,38.95,11.24,0.13,0.19,11.99,0.01,0.78,-21.12,2025-04-04 to 2025-09-12
26,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,35.35,8.01,0.29,0.41,17.5,0.1,1.53,-23.34,2025-04-09 to 2026-02-20
27,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,34.21,17.26,0.26,0.38,13.04,0.04,1.59,-17.57,2024-01-09 to 2025-02-14
28,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,33.16,7.39,-3.65,-7.21,6.75,-0.0,0.74,-0.1,2025-10-16 to 2025-10-20
29,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,32.28,6.69,-4.0,-7.77,6.46,-0.0,0.6,-0.12,2024-04-12 to 2024-04-30
30,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,29.3,4.06,-0.85,-1.24,5.07,0.0,0.55,-8.32,2023-02-09 to 2024-02-09
31,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,28.07,5.84,-0.74,-1.05,5.62,-0.01,0.77,-4.33,2024-09-16 to 2025-04-01
32,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,25.44,3.92,-1.04,-1.46,4.28,0.0,0.56,-4.31,2023-05-23 to 2023-07-28
33,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,25.09,6.31,-4.65,-8.74,6.09,0.0,0.79,-0.16,2023-09-05 to 2023-09-12
34,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,18.6,7.75,-0.06,-0.08,7.8,0.02,1.56,-24.0,2023-11-09 to 2024-10-17
35,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,13.42,-1.34,-0.14,-0.19,4.88,0.06,0.72,-52.57,2023-01-17 to 2025-10-28
36,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,11.49,0.53,-0.13,-0.19,6.9,0.01,1.64,-14.4,2023-10-12 to 2025-02-07
37,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,10.79,-4.15,0.05,0.08,10.9,-0.07,1.53,-35.45,2024-11-21 to 2026-05-11
38,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,4.04,-11.7,-0.15,-0.22,4.8,-0.07,1.38,-51.68,2025-05-22 to 2026-05-11
39,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,1.67,-0.77,-0.29,-0.42,2.9,-0.04,1.51,-28.0,2025-01-07 to 2026-04-27
40,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,0.0,1.29,-0.32,-0.47,3.75,-0.06,1.55,-24.73,2022-03-30 to 2022-09-15
